puuid,total_game_duration,avg_time_between_games,win_loss_ratio,unique_champions,kill_death_ratio,avg_champion_level,avg_gold_usage,avg_daily_streak,churn,total_active_days
DqJQpVfTOGk2koXLYosMqCS_WL_4C3-i0i1szyoiIAwJ-lX0KFGE8nBs9qJme8aSeOVUDDnKLrzWWQ,2093.5,595605.0,1.0,2,4.285714285714286,17.0,33490.5,2,1,2
1ruxkvdX41ZtKaGc3AQnJ4CHaOKPVGFySXPB8vVPi_uoQTYs03BH4M0eam9kMsV4V3yKVVpQr0vetg,1674.3333333333333,732211.0,2.0,1,0.6923076923076923,13.33,21349.333333333332,3,1,3
ZyfbYVTGZ5o3AUzMYUM0s9u_hh374JKWklUJpmSWRmlzrJWAuoe_V1rVnMs98qQ8Gc5noPOL3nzlTQ,1373.8333333333333,692741.4,1.0,5,0.8571428571428571,11.83,15912.166666666666,4,1,4
JqpZe8lDggNT-QTfb2HudTBn0ltApIi0eWAacqKWHEW6IgoMqMcqkzGgoeiw81Q9asI9IlKZXnk0sQ,1619.75,4721997.666666667,0.3333333333333333,3,0.9375,13.75,19049.5,4,1,4
nFQ0MS8fVQtmANpXMP3nvf9aLgLeI_AQkmqHNqh5qp6_os5nkjbf33ngD86UARWolAyik2l8YfHt3g,1866.0,0,0.0,1,0.14285714285714285,13.0,19996.0,1,0,1
mrzmOxTeAhaaPHw8A7lS6Wm_orOK5cT4A5m6H3w4Bykvi3fkGblWBNKJMjYQJGk8ktTOx8IsDJiTdw,1866.0,0,0.0,1,0.0,13.0,13505.0,1,0,1
UB4qOAa_11riTBNkJid48l5nim-A9Gmha2QNk8_EK2HPf5f0-c_eh6yHdZXcsREHbNPYgB8ngF6_xA,1523.3333333333333,1522858.0,2.0,2,1.0,15.0,18058.0,3,1,3
icjVhZ_sIVVPh6CHwGwRC5iaTdPiCZeO0dc2u_VKB-B_9XH6Cm57RI8cjXeYgxQsoL9zVvJN1gamRw,1866.0,0,1.0,1,2.25,16.0,24830.0,1,0,1
S-lnffq8yIY5hSNpGx3Kde5KA1cslvytd514yiJVjWtdq6w7wVvtUprLrx0b47tSUT3ld9zZrCHhbw,1697.0,877214.4545454546,0.5,6,1.278688524590164,14.5,22275.333333333332,10,1,10
v2MH_Sab2tFqBLxzGjXWf4i4XoKf-LnOBxZghj90V-31w6Sqe16mCt4fBOuk0vvYn0awVL7_o3URuQ,1866.0,0,1.0,1,0.0,13.0,15155.0,1,0,1
